original,sanitized
[4E Energeiaki 805 KWp Darali] PCC Production voltage of L2-L3 (Vac),p_4e_ener_dara__805kwp__pcc_prod_volt_of_l2_l3__u_vac
[4E Energeiaki 805 KWp Darali] PCC Production voltage of L3-L1 (Vac),p_4e_ener_dara__805kwp__pcc_prod_volt_of_l3_l1__u_vac
[4E Energeiaki 805 KWp Darali] PCC Total Production active power (kW),p_4e_ener_dara__805kwp__pcc_tota_prod_acti_powe__u_kw
[4E Energeiaki 805 KWp Darali] PCC Total Production apparent power (kVA),p_4e_ener_dara__805kwp__pcc_tota_prod_appa_powe__u_kva
[4E Energeiaki 805 KWp Darali] PCC Total Production reactive power (kVAr),p_4e_ener_dara__805kwp__pcc_tota_prod_reac_powe__u_kvar
[Fragiatoula_Utilitas_4866kWp] Fragiatoula_Utilitas_4866kWp Average Irradiance (W*m^-2),frag_util__4866kwp__aver_irra__u_w_m_2
[Fragiatoula_Utilitas_4866kWp] PCC PCC Current THD-R of phase L1 (%),frag_util__4866kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Current THD-R of phase L2 (%),frag_util__4866kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Current THD-R of phase L3 (%),frag_util__4866kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Voltage THD-R of phase L1 (%),frag_util__4866kwp__pcc_volt_thd_r_of_phas_l1__u_pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Voltage THD-R of phase L2 (%),frag_util__4866kwp__pcc_volt_thd_r_of_phas_l2__u_pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC Voltage THD-R of phase L3 (%),frag_util__4866kwp__pcc_volt_thd_r_of_phas_l3__u_pct
[Fragiatoula_Utilitas_4866kWp] PCC PCC active energy export (kWh),frag_util__4866kwp__pcc_acti_ener_expo__u_kwh
[Fragiatoula_Utilitas_4866kWp] PCC PCC active energy import (kWh),frag_util__4866kwp__pcc_acti_ener_impo__u_kwh
[Fragiatoula_Utilitas_4866kWp] PCC PCC apparent energy (kVAh),frag_util__4866kwp__pcc_appa_ener__u_kvah
[Fragiatoula_Utilitas_4866kWp] PCC PCC average current (A),frag_util__4866kwp__pcc_aver_curr__u_a
[Fragiatoula_Utilitas_4866kWp] PCC PCC average line voltage (Vac),frag_util__4866kwp__pcc_aver_line_volt__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC average phase voltage (Vac),frag_util__4866kwp__pcc_aver_phas_volt__u_vac
[Fragiatoula_Utilitas_4866kWp] PCC PCC current of phase L1 (A),frag_util__4866kwp__pcc_curr_of_phas_l1__u_a
[Fragiatoula_Utilitas_4866kWp] PCC PCC current of phase L2 (A),frag_util__4866kwp__pcc_curr_of_phas_l2__u_a
[Fragiatoula_Utilitas_4866kWp] PCC PCC current of phase L3 (A),frag_util__4866kwp__pcc_curr_of_phas_l3__u_a
[Fragiatoula_Utilitas_4866kWp] PCC PCC frequency (Hz),frag_util__4866kwp__pcc_freq__u_hz
[Fragiatoula_Utilitas_4866kWp] PCC PCC power factor of phase L1 (-),frag_util__4866kwp__pcc_powe_fact_of_phas_l1__u_num
[Fragiatoula_Utilitas_4866kWp] PCC PCC power factor of phase L2 (-),frag_util__4866kwp__pcc_powe_fact_of_phas_l2__u_num
[Fragiatoula_Utilitas_4866kWp] PCC PCC power factor of phase L3 (-),frag_util__4866kwp__pcc_powe_fact_of_phas_l3__u_num
