original,sanitized
[Hlektrogenesis 391 KWp Pelopio] PCC PCC current of phase L3 (A),hlek_pelo__391kwp__pcc_curr_of_phas_l3__u_a
[Hlektrogenesis 391 KWp Pelopio] PCC PCC frequency (Hz),hlek_pelo__391kwp__pcc_freq__u_hz
[Hlektrogenesis 391 KWp Pelopio] PCC PCC power factor of phase L1 (-),hlek_pelo__391kwp__pcc_powe_fact_of_phas_l1__u_num
[Hlektrogenesis 391 KWp Pelopio] PCC PCC power factor of phase L2 (-),hlek_pelo__391kwp__pcc_powe_fact_of_phas_l2__u_num
[Hlektrogenesis 391 KWp Pelopio] PCC PCC power factor of phase L3 (-),hlek_pelo__391kwp__pcc_powe_fact_of_phas_l3__u_num
[Hlektrogenesis 391 KWp Pelopio] PCC PCC reactive energy export (kVArh),hlek_pelo__391kwp__pcc_reac_ener_expo__u_kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC reactive energy import (kVArh),hlek_pelo__391kwp__pcc_reac_ener_impo__u_kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC PCC total power factor (-),hlek_pelo__391kwp__pcc_tota_powe_fact__u_num
[Hlektrogenesis 391 KWp Pelopio] PCC PCC voltage of L1-L2 (Vac),hlek_pelo__391kwp__pcc_volt_of_l1_l2__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC voltage of L2-L3 (Vac),hlek_pelo__391kwp__pcc_volt_of_l2_l3__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC PCC voltage of L3-L1 (Vac),hlek_pelo__391kwp__pcc_volt_of_l3_l1__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC Production active energy export (kWh),hlek_pelo__391kwp__pcc_prod_acti_ener_expo__u_kwh
[Hlektrogenesis 391 KWp Pelopio] PCC Production active energy import (kWh),hlek_pelo__391kwp__pcc_prod_acti_ener_impo__u_kwh
[Hlektrogenesis 391 KWp Pelopio] PCC Production current of phase L1 (A),hlek_pelo__391kwp__pcc_prod_curr_of_phas_l1__u_a
[Hlektrogenesis 391 KWp Pelopio] PCC Production current of phase L2 (A),hlek_pelo__391kwp__pcc_prod_curr_of_phas_l2__u_a
[Hlektrogenesis 391 KWp Pelopio] PCC Production current of phase L3 (A),hlek_pelo__391kwp__pcc_prod_curr_of_phas_l3__u_a
[Hlektrogenesis 391 KWp Pelopio] PCC Production frequency (Hz),hlek_pelo__391kwp__pcc_prod_freq__u_hz
[Hlektrogenesis 391 KWp Pelopio] PCC Production reactive energy export (kVArh),hlek_pelo__391kwp__pcc_prod_reac_ener_expo__u_kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC Production reactive energy import (kVArh),hlek_pelo__391kwp__pcc_prod_reac_ener_impo__u_kvarh
[Hlektrogenesis 391 KWp Pelopio] PCC Production total power factor (-),hlek_pelo__391kwp__pcc_prod_tota_powe_fact__u_num
[Hlektrogenesis 391 KWp Pelopio] PCC Production voltage of L1-L2 (Vac),hlek_pelo__391kwp__pcc_prod_volt_of_l1_l2__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC Production voltage of L2-L3 (Vac),hlek_pelo__391kwp__pcc_prod_volt_of_l2_l3__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC Production voltage of L3-L1 (Vac),hlek_pelo__391kwp__pcc_prod_volt_of_l3_l1__u_vac
[Hlektrogenesis 391 KWp Pelopio] PCC Total Production active power (kW),hlek_pelo__391kwp__pcc_tota_prod_acti_powe__u_kw
[Hlektrogenesis 391 KWp Pelopio] PCC Total Production reactive power (kVAr),hlek_pelo__391kwp__pcc_tota_prod_reac_powe__u_kvar
[Hlektrogenesis 391 KWp Pelopio] Weather Station Ambient Temperature (C),hlek_pelo__391kwp__weat_stat_ambi_temp__u_c
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Current THD-R of phase L1 (%),hlek_pelo__450kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Current THD-R of phase L2 (%),hlek_pelo__450kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Current THD-R of phase L3 (%),hlek_pelo__450kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Voltage THD-R of phase L1 (%),hlek_pelo__450kwp__pcc_volt_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Voltage THD-R of phase L2 (%),hlek_pelo__450kwp__pcc_volt_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC Voltage THD-R of phase L3 (%),hlek_pelo__450kwp__pcc_volt_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 450 KWp Pelopio] PCC PCC active energy export (kWh),hlek_pelo__450kwp__pcc_acti_ener_expo__u_kwh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC active energy import (kWh),hlek_pelo__450kwp__pcc_acti_ener_impo__u_kwh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC apparent energy (kVAh),hlek_pelo__450kwp__pcc_appa_ener__u_kvah
[Hlektrogenesis 450 KWp Pelopio] PCC PCC average current (A),hlek_pelo__450kwp__pcc_aver_curr__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC average line voltage (Vac),hlek_pelo__450kwp__pcc_aver_line_volt__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC average phase voltage (Vac),hlek_pelo__450kwp__pcc_aver_phas_volt__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC current of phase L1 (A),hlek_pelo__450kwp__pcc_curr_of_phas_l1__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC current of phase L2 (A),hlek_pelo__450kwp__pcc_curr_of_phas_l2__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC current of phase L3 (A),hlek_pelo__450kwp__pcc_curr_of_phas_l3__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC PCC frequency (Hz),hlek_pelo__450kwp__pcc_freq__u_hz
[Hlektrogenesis 450 KWp Pelopio] PCC PCC power factor of phase L1 (-),hlek_pelo__450kwp__pcc_powe_fact_of_phas_l1__u_num
[Hlektrogenesis 450 KWp Pelopio] PCC PCC power factor of phase L2 (-),hlek_pelo__450kwp__pcc_powe_fact_of_phas_l2__u_num
[Hlektrogenesis 450 KWp Pelopio] PCC PCC power factor of phase L3 (-),hlek_pelo__450kwp__pcc_powe_fact_of_phas_l3__u_num
[Hlektrogenesis 450 KWp Pelopio] PCC PCC reactive energy export (kVArh),hlek_pelo__450kwp__pcc_reac_ener_expo__u_kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC reactive energy import (kVArh),hlek_pelo__450kwp__pcc_reac_ener_impo__u_kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC PCC total power factor (-),hlek_pelo__450kwp__pcc_tota_powe_fact__u_num
[Hlektrogenesis 450 KWp Pelopio] PCC PCC voltage of L1-L2 (Vac),hlek_pelo__450kwp__pcc_volt_of_l1_l2__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC voltage of L2-L3 (Vac),hlek_pelo__450kwp__pcc_volt_of_l2_l3__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC PCC voltage of L3-L1 (Vac),hlek_pelo__450kwp__pcc_volt_of_l3_l1__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC Production active energy export (kWh),hlek_pelo__450kwp__pcc_prod_acti_ener_expo__u_kwh
[Hlektrogenesis 450 KWp Pelopio] PCC Production active energy import (kWh),hlek_pelo__450kwp__pcc_prod_acti_ener_impo__u_kwh
[Hlektrogenesis 450 KWp Pelopio] PCC Production current of phase L1 (A),hlek_pelo__450kwp__pcc_prod_curr_of_phas_l1__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC Production current of phase L2 (A),hlek_pelo__450kwp__pcc_prod_curr_of_phas_l2__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC Production current of phase L3 (A),hlek_pelo__450kwp__pcc_prod_curr_of_phas_l3__u_a
[Hlektrogenesis 450 KWp Pelopio] PCC Production frequency (Hz),hlek_pelo__450kwp__pcc_prod_freq__u_hz
[Hlektrogenesis 450 KWp Pelopio] PCC Production reactive energy export (kVArh),hlek_pelo__450kwp__pcc_prod_reac_ener_expo__u_kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC Production reactive energy import (kVArh),hlek_pelo__450kwp__pcc_prod_reac_ener_impo__u_kvarh
[Hlektrogenesis 450 KWp Pelopio] PCC Production total power factor (-),hlek_pelo__450kwp__pcc_prod_tota_powe_fact__u_num
[Hlektrogenesis 450 KWp Pelopio] PCC Production voltage of L1-L2 (Vac),hlek_pelo__450kwp__pcc_prod_volt_of_l1_l2__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC Production voltage of L2-L3 (Vac),hlek_pelo__450kwp__pcc_prod_volt_of_l2_l3__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC Production voltage of L3-L1 (Vac),hlek_pelo__450kwp__pcc_prod_volt_of_l3_l1__u_vac
[Hlektrogenesis 450 KWp Pelopio] PCC Total Production active power (kW),hlek_pelo__450kwp__pcc_tota_prod_acti_powe__u_kw
[Hlektrogenesis 450 KWp Pelopio] PCC Total Production reactive power (kVAr),hlek_pelo__450kwp__pcc_tota_prod_reac_powe__u_kvar
[Hlektrogenesis 450 KWp Pelopio] Weather Station Ambient Temperature (C),hlek_pelo__450kwp__weat_stat_ambi_temp__u_c
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Current THD-R of phase L1 (%),hlek_pelo__660kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Current THD-R of phase L2 (%),hlek_pelo__660kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Current THD-R of phase L3 (%),hlek_pelo__660kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Voltage THD-R of phase L1 (%),hlek_pelo__660kwp__pcc_volt_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Voltage THD-R of phase L2 (%),hlek_pelo__660kwp__pcc_volt_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC Voltage THD-R of phase L3 (%),hlek_pelo__660kwp__pcc_volt_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 660 KWp Pelopio] PCC PCC active energy export (kWh),hlek_pelo__660kwp__pcc_acti_ener_expo__u_kwh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC active energy import (kWh),hlek_pelo__660kwp__pcc_acti_ener_impo__u_kwh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC apparent energy (kVAh),hlek_pelo__660kwp__pcc_appa_ener__u_kvah
[Hlektrogenesis 660 KWp Pelopio] PCC PCC average current (A),hlek_pelo__660kwp__pcc_aver_curr__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC average line voltage (Vac),hlek_pelo__660kwp__pcc_aver_line_volt__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC average phase voltage (Vac),hlek_pelo__660kwp__pcc_aver_phas_volt__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC current of phase L1 (A),hlek_pelo__660kwp__pcc_curr_of_phas_l1__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC current of phase L2 (A),hlek_pelo__660kwp__pcc_curr_of_phas_l2__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC current of phase L3 (A),hlek_pelo__660kwp__pcc_curr_of_phas_l3__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC PCC frequency (Hz),hlek_pelo__660kwp__pcc_freq__u_hz
[Hlektrogenesis 660 KWp Pelopio] PCC PCC power factor of phase L1 (-),hlek_pelo__660kwp__pcc_powe_fact_of_phas_l1__u_num
[Hlektrogenesis 660 KWp Pelopio] PCC PCC power factor of phase L2 (-),hlek_pelo__660kwp__pcc_powe_fact_of_phas_l2__u_num
[Hlektrogenesis 660 KWp Pelopio] PCC PCC power factor of phase L3 (-),hlek_pelo__660kwp__pcc_powe_fact_of_phas_l3__u_num
[Hlektrogenesis 660 KWp Pelopio] PCC PCC reactive energy export (kVArh),hlek_pelo__660kwp__pcc_reac_ener_expo__u_kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC reactive energy import (kVArh),hlek_pelo__660kwp__pcc_reac_ener_impo__u_kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC PCC total power factor (-),hlek_pelo__660kwp__pcc_tota_powe_fact__u_num
[Hlektrogenesis 660 KWp Pelopio] PCC PCC voltage of L1-L2 (Vac),hlek_pelo__660kwp__pcc_volt_of_l1_l2__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC voltage of L2-L3 (Vac),hlek_pelo__660kwp__pcc_volt_of_l2_l3__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC PCC voltage of L3-L1 (Vac),hlek_pelo__660kwp__pcc_volt_of_l3_l1__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC Production active energy export (kWh),hlek_pelo__660kwp__pcc_prod_acti_ener_expo__u_kwh
[Hlektrogenesis 660 KWp Pelopio] PCC Production active energy import (kWh),hlek_pelo__660kwp__pcc_prod_acti_ener_impo__u_kwh
[Hlektrogenesis 660 KWp Pelopio] PCC Production current of phase L1 (A),hlek_pelo__660kwp__pcc_prod_curr_of_phas_l1__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC Production current of phase L2 (A),hlek_pelo__660kwp__pcc_prod_curr_of_phas_l2__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC Production current of phase L3 (A),hlek_pelo__660kwp__pcc_prod_curr_of_phas_l3__u_a
[Hlektrogenesis 660 KWp Pelopio] PCC Production frequency (Hz),hlek_pelo__660kwp__pcc_prod_freq__u_hz
[Hlektrogenesis 660 KWp Pelopio] PCC Production reactive energy export (kVArh),hlek_pelo__660kwp__pcc_prod_reac_ener_expo__u_kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC Production reactive energy import (kVArh),hlek_pelo__660kwp__pcc_prod_reac_ener_impo__u_kvarh
[Hlektrogenesis 660 KWp Pelopio] PCC Production total power factor (-),hlek_pelo__660kwp__pcc_prod_tota_powe_fact__u_num
[Hlektrogenesis 660 KWp Pelopio] PCC Production voltage of L1-L2 (Vac),hlek_pelo__660kwp__pcc_prod_volt_of_l1_l2__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC Production voltage of L2-L3 (Vac),hlek_pelo__660kwp__pcc_prod_volt_of_l2_l3__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC Production voltage of L3-L1 (Vac),hlek_pelo__660kwp__pcc_prod_volt_of_l3_l1__u_vac
[Hlektrogenesis 660 KWp Pelopio] PCC Total Production active power (kW),hlek_pelo__660kwp__pcc_tota_prod_acti_powe__u_kw
[Hlektrogenesis 660 KWp Pelopio] PCC Total Production reactive power (kVAr),hlek_pelo__660kwp__pcc_tota_prod_reac_powe__u_kvar
[Hlektrogenesis 660 KWp Pelopio] Weather station Ambient Temperature (C),hlek_pelo__660kwp__weat_stat_ambi_temp__u_c
[Hlektrogenesis 924 KWp Strefi] PCC PCC Current THD-R of phase L1 (%),hlek_stre__924kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Current THD-R of phase L2 (%),hlek_stre__924kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Current THD-R of phase L3 (%),hlek_stre__924kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Voltage THD-R of phase L1 (%),hlek_stre__924kwp__pcc_volt_thd_r_of_phas_l1__u_pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Voltage THD-R of phase L2 (%),hlek_stre__924kwp__pcc_volt_thd_r_of_phas_l2__u_pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC Voltage THD-R of phase L3 (%),hlek_stre__924kwp__pcc_volt_thd_r_of_phas_l3__u_pct
[Hlektrogenesis 924 KWp Strefi] PCC PCC active energy export (kWh),hlek_stre__924kwp__pcc_acti_ener_expo__u_kwh
[Hlektrogenesis 924 KWp Strefi] PCC PCC active energy import (kWh),hlek_stre__924kwp__pcc_acti_ener_impo__u_kwh
[Hlektrogenesis 924 KWp Strefi] PCC PCC apparent energy (kVAh),hlek_stre__924kwp__pcc_appa_ener__u_kvah
[Hlektrogenesis 924 KWp Strefi] PCC PCC average current (A),hlek_stre__924kwp__pcc_aver_curr__u_a
[Hlektrogenesis 924 KWp Strefi] PCC PCC average line voltage (Vac),hlek_stre__924kwp__pcc_aver_line_volt__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC average phase voltage (Vac),hlek_stre__924kwp__pcc_aver_phas_volt__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC current of phase L1 (A),hlek_stre__924kwp__pcc_curr_of_phas_l1__u_a
[Hlektrogenesis 924 KWp Strefi] PCC PCC current of phase L2 (A),hlek_stre__924kwp__pcc_curr_of_phas_l2__u_a
[Hlektrogenesis 924 KWp Strefi] PCC PCC current of phase L3 (A),hlek_stre__924kwp__pcc_curr_of_phas_l3__u_a
[Hlektrogenesis 924 KWp Strefi] PCC PCC frequency (Hz),hlek_stre__924kwp__pcc_freq__u_hz
[Hlektrogenesis 924 KWp Strefi] PCC PCC power factor of phase L1 (-),hlek_stre__924kwp__pcc_powe_fact_of_phas_l1__u_num
[Hlektrogenesis 924 KWp Strefi] PCC PCC power factor of phase L2 (-),hlek_stre__924kwp__pcc_powe_fact_of_phas_l2__u_num
[Hlektrogenesis 924 KWp Strefi] PCC PCC power factor of phase L3 (-),hlek_stre__924kwp__pcc_powe_fact_of_phas_l3__u_num
[Hlektrogenesis 924 KWp Strefi] PCC PCC reactive energy export (kVArh),hlek_stre__924kwp__pcc_reac_ener_expo__u_kvarh
[Hlektrogenesis 924 KWp Strefi] PCC PCC reactive energy import (kVArh),hlek_stre__924kwp__pcc_reac_ener_impo__u_kvarh
[Hlektrogenesis 924 KWp Strefi] PCC PCC total power factor (-),hlek_stre__924kwp__pcc_tota_powe_fact__u_num
[Hlektrogenesis 924 KWp Strefi] PCC PCC voltage of L1-L2 (Vac),hlek_stre__924kwp__pcc_volt_of_l1_l2__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC voltage of L2-L3 (Vac),hlek_stre__924kwp__pcc_volt_of_l2_l3__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC PCC voltage of L3-L1 (Vac),hlek_stre__924kwp__pcc_volt_of_l3_l1__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC Production active energy export (kWh),hlek_stre__924kwp__pcc_prod_acti_ener_expo__u_kwh
[Hlektrogenesis 924 KWp Strefi] PCC Production active energy import (kWh),hlek_stre__924kwp__pcc_prod_acti_ener_impo__u_kwh
[Hlektrogenesis 924 KWp Strefi] PCC Production current of phase L1 (A),hlek_stre__924kwp__pcc_prod_curr_of_phas_l1__u_a
[Hlektrogenesis 924 KWp Strefi] PCC Production current of phase L2 (A),hlek_stre__924kwp__pcc_prod_curr_of_phas_l2__u_a
[Hlektrogenesis 924 KWp Strefi] PCC Production current of phase L3 (A),hlek_stre__924kwp__pcc_prod_curr_of_phas_l3__u_a
[Hlektrogenesis 924 KWp Strefi] PCC Production frequency (Hz),hlek_stre__924kwp__pcc_prod_freq__u_hz
[Hlektrogenesis 924 KWp Strefi] PCC Production reactive energy export (kVArh),hlek_stre__924kwp__pcc_prod_reac_ener_expo__u_kvarh
[Hlektrogenesis 924 KWp Strefi] PCC Production reactive energy import (kVArh),hlek_stre__924kwp__pcc_prod_reac_ener_impo__u_kvarh
[Hlektrogenesis 924 KWp Strefi] PCC Production total power factor (-),hlek_stre__924kwp__pcc_prod_tota_powe_fact__u_num
[Hlektrogenesis 924 KWp Strefi] PCC Production voltage of L1-L2 (Vac),hlek_stre__924kwp__pcc_prod_volt_of_l1_l2__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC Production voltage of L2-L3 (Vac),hlek_stre__924kwp__pcc_prod_volt_of_l2_l3__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC Production voltage of L3-L1 (Vac),hlek_stre__924kwp__pcc_prod_volt_of_l3_l1__u_vac
[Hlektrogenesis 924 KWp Strefi] PCC Total Production active power (kW),hlek_stre__924kwp__pcc_tota_prod_acti_powe__u_kw
[Hlektrogenesis 924 KWp Strefi] PCC Total Production reactive power (kVAr),hlek_stre__924kwp__pcc_tota_prod_reac_powe__u_kvar
[Hlektrogenesis 924 KWp Strefi] Weather station Ambient Temperature (C),hlek_stre__924kwp__weat_stat_ambi_temp__u_c
[Hlektrogennisi 500 KWp Livanates] PCC PCC active energy export (kWh),hlek_liva__500kwp__pcc_acti_ener_expo__u_kwh
[Hlektrogennisi 500 KWp Livanates] PCC PCC active energy import (kWh),hlek_liva__500kwp__pcc_acti_ener_impo__u_kwh
[Hlektrogennisi 500 KWp Livanates] PCC PCC apparent energy (kVAh),hlek_liva__500kwp__pcc_appa_ener__u_kvah
[Hlektrogennisi 500 KWp Livanates] PCC PCC current of phase L1 (A),hlek_liva__500kwp__pcc_curr_of_phas_l1__u_a
[Hlektrogennisi 500 KWp Livanates] PCC PCC current of phase L2 (A),hlek_liva__500kwp__pcc_curr_of_phas_l2__u_a
[Hlektrogennisi 500 KWp Livanates] PCC PCC current of phase L3 (A),hlek_liva__500kwp__pcc_curr_of_phas_l3__u_a
[Hlektrogennisi 500 KWp Livanates] PCC PCC frequency (Hz),hlek_liva__500kwp__pcc_freq__u_hz
[Hlektrogennisi 500 KWp Livanates] PCC PCC reactive energy export (kVArh),hlek_liva__500kwp__pcc_reac_ener_expo__u_kvarh
[Hlektrogennisi 500 KWp Livanates] PCC PCC reactive energy import (kVArh),hlek_liva__500kwp__pcc_reac_ener_impo__u_kvarh
[Hlektrogennisi 500 KWp Livanates] PCC PCC total power factor (-),hlek_liva__500kwp__pcc_tota_powe_fact__u_num
[Hlektrogennisi 500 KWp Livanates] PCC PCC voltage of L1-L2 (Vac),hlek_liva__500kwp__pcc_volt_of_l1_l2__u_vac
[Hlektrogennisi 500 KWp Livanates] PCC PCC voltage of L2-L3 (Vac),hlek_liva__500kwp__pcc_volt_of_l2_l3__u_vac
[Hlektrogennisi 500 KWp Livanates] PCC PCC voltage of L3-L1 (Vac),hlek_liva__500kwp__pcc_volt_of_l3_l1__u_vac
[Hlektrogennisi 500 KWp Livanates] PCC Production active energy export (kWh),hlek_liva__500kwp__pcc_prod_acti_ener_expo__u_kwh
[Hlektrogennisi 500 KWp Livanates] PCC Production active energy import (kWh),hlek_liva__500kwp__pcc_prod_acti_ener_impo__u_kwh
[Hlektrogennisi 500 KWp Livanates] PCC Production current of phase L1 (A),hlek_liva__500kwp__pcc_prod_curr_of_phas_l1__u_a
[Hlektrogennisi 500 KWp Livanates] PCC Production current of phase L2 (A),hlek_liva__500kwp__pcc_prod_curr_of_phas_l2__u_a
[Hlektrogennisi 500 KWp Livanates] PCC Production current of phase L3 (A),hlek_liva__500kwp__pcc_prod_curr_of_phas_l3__u_a
[Hlektrogennisi 500 KWp Livanates] PCC Production frequency (Hz),hlek_liva__500kwp__pcc_prod_freq__u_hz
[Hlektrogennisi 500 KWp Livanates] PCC Production reactive energy export (kVArh),hlek_liva__500kwp__pcc_prod_reac_ener_expo__u_kvarh
[Hlektrogennisi 500 KWp Livanates] PCC Production reactive energy import (kVArh),hlek_liva__500kwp__pcc_prod_reac_ener_impo__u_kvarh
[Hlektrogennisi 500 KWp Livanates] PCC Production total power factor (-),hlek_liva__500kwp__pcc_prod_tota_powe_fact__u_num
[Hlektrogennisi 500 KWp Livanates] PCC Production voltage of L1-L2 (Vac),hlek_liva__500kwp__pcc_prod_volt_of_l1_l2__u_vac
[Hlektrogennisi 500 KWp Livanates] PCC Production voltage of L2-L3 (Vac),hlek_liva__500kwp__pcc_prod_volt_of_l2_l3__u_vac
[Hlektrogennisi 500 KWp Livanates] PCC Production voltage of L3-L1 (Vac),hlek_liva__500kwp__pcc_prod_volt_of_l3_l1__u_vac
[Hlektrogennisi 500 KWp Livanates] PCC Total Production active power (kW),hlek_liva__500kwp__pcc_tota_prod_acti_powe__u_kw
[Hlektrogennisi 500 KWp Livanates] PCC Total Production reactive power (kVAr),hlek_liva__500kwp__pcc_tota_prod_reac_powe__u_kvar
[Hliatoras 474kWp Andravida] Hliatoras 474kWp Andravida Average Irradiance (W*m^-2),hlia_andr__474kwp__aver_irra__u_w_m_2
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of neutral (%),hlia_andr__474kwp__pcc_curr_thd_r_of_neut__u_pct
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of phase L1 (%),hlia_andr__474kwp__pcc_curr_thd_r_of_phas_l1__u_pct
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of phase L2 (%),hlia_andr__474kwp__pcc_curr_thd_r_of_phas_l2__u_pct
[Hliatoras 474kWp Andravida] PCC PCC Current THD-R of phase L3 (%),hlia_andr__474kwp__pcc_curr_thd_r_of_phas_l3__u_pct
[Hliatoras 474kWp Andravida] PCC PCC active energy export (kWh),hlia_andr__474kwp__pcc_acti_ener_expo__u_kwh
[Hliatoras 474kWp Andravida] PCC PCC active energy import (kWh),hlia_andr__474kwp__pcc_acti_ener_impo__u_kwh
[Hliatoras 474kWp Andravida] PCC PCC apparent energy (kVAh),hlia_andr__474kwp__pcc_appa_ener__u_kvah
[Hliatoras 474kWp Andravida] PCC PCC average current (A),hlia_andr__474kwp__pcc_aver_curr__u_a
[Hliatoras 474kWp Andravida] PCC PCC average line voltage (Vac),hlia_andr__474kwp__pcc_aver_line_volt__u_vac
[Hliatoras 474kWp Andravida] PCC PCC average phase voltage (Vac),hlia_andr__474kwp__pcc_aver_phas_volt__u_vac
[Hliatoras 474kWp Andravida] PCC PCC current of phase L1 (A),hlia_andr__474kwp__pcc_curr_of_phas_l1__u_a
[Hliatoras 474kWp Andravida] PCC PCC current of phase L2 (A),hlia_andr__474kwp__pcc_curr_of_phas_l2__u_a
[Hliatoras 474kWp Andravida] PCC PCC current of phase L3 (A),hlia_andr__474kwp__pcc_curr_of_phas_l3__u_a
[Hliatoras 474kWp Andravida] PCC PCC current unbalance of phase L1 (%),hlia_andr__474kwp__pcc_curr_unba_of_phas_l1__u_pct
[Hliatoras 474kWp Andravida] PCC PCC current unbalance of phase L2 (%),hlia_andr__474kwp__pcc_curr_unba_of_phas_l2__u_pct
[Hliatoras 474kWp Andravida] PCC PCC current unbalance of phase L3 (%),hlia_andr__474kwp__pcc_curr_unba_of_phas_l3__u_pct
[Hliatoras 474kWp Andravida] PCC PCC frequency (Hz),hlia_andr__474kwp__pcc_freq__u_hz
[Hliatoras 474kWp Andravida] PCC PCC power factor of phase L1 (-),hlia_andr__474kwp__pcc_powe_fact_of_phas_l1__u_num
[Hliatoras 474kWp Andravida] PCC PCC power factor of phase L2 (-),hlia_andr__474kwp__pcc_powe_fact_of_phas_l2__u_num
[Hliatoras 474kWp Andravida] PCC PCC power factor of phase L3 (-),hlia_andr__474kwp__pcc_powe_fact_of_phas_l3__u_num
[Hliatoras 474kWp Andravida] PCC PCC reactive energy export (kVArh),hlia_andr__474kwp__pcc_reac_ener_expo__u_kvarh
[Hliatoras 474kWp Andravida] PCC PCC reactive energy import (kVArh),hlia_andr__474kwp__pcc_reac_ener_impo__u_kvarh
