dataset,source_file_hash,source_file,run_id,status,rows_long,files_written,archived_path,mapping_filename,mapping_file_hash,ingested_at_utc,message
scada_1d_signal,23b67839c7d9fb30b365ff8e34a6ddeef262803caed767b009324595a63e64dc,C:\00_Developement\daily_avg_pv_kpi_heatmap\data\archived\year=2026\month=01\day=26\Exported Data-20150101T000000_BACKUP__hash=23b67839c7d9.xlsx,20260126T041719Z,ingested,162372,134,C:\00_Developement\daily_avg_pv_kpi_heatmap\data\archived\year=2026\month=01\day=26\Exported Data-20150101T000000_BACKUP__hash=23b67839c7d9.xlsx,park_power_mapping_v011.csv,3d81060f15eb78783bae6663b109ddd5c518c11df7f2550ec3894243ba2db58c,2026-01-26T04:17:28.354611+00:00,ok
scada_1d_signal,19770d0b0b470ce0b2e3d7104816626bd354b7086842778e336c4672ddaab940,C:\00_Developement\daily_avg_pv_kpi_heatmap\data\archived\year=2026\month=01\day=26\Exported Data-20150101T000000__hash=19770d0b0b47.xlsx,20260126T041728Z,ingested,162372,134,C:\00_Developement\daily_avg_pv_kpi_heatmap\data\archived\year=2026\month=01\day=26\Exported Data-20150101T000000__hash=19770d0b0b47.xlsx,park_power_mapping_v011.csv,3d81060f15eb78783bae6663b109ddd5c518c11df7f2550ec3894243ba2db58c,2026-01-26T04:17:37.446886+00:00,ok
